"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.0","1019.2","1023.2","2017/01/24 09:32:00","1007.3","2017/01/08 14:32:00","19.4","28.1","2017/01/29 13:57:00","13.1","2017/01/21 00:33:00","14.6","3.4","20","13.2","20","2017/01/25 17:56:00","0.0","0.0","0","0.0","2017/01/31 00:00:00","0.0","2017/01/31 00:00:00","0.0","2017/01/31 00:00:00","74","208.3","397.87","4","5","2017/01/30 13:00:00","4.2"
"02","1016.4","1019.6","1025.9","2017/02/14 08:43:00","1007.8","2017/02/05 15:46:00","18.6","29.0","2017/02/20 13:06:00","9.7","2017/02/11 04:02:00","13.0","3.5","20","18.7","30","2017/02/09 07:05:00","1.0","3.8","2","0.5","2017/02/12 02:20:00","0.5","2017/02/12 02:20:00","0.5","2017/02/12 00:00:00","71","174.3","387.96","5","6","2017/02/26 13:00:00","5.1"
"03","1013.1","1016.3","1020.8","2017/03/27 10:29:00","1006.5","2017/03/13 14:58:00","21.5","30.2","2017/03/21 13:00:00","13.6","2017/03/03 02:40:00","15.8","3.1","20","21.6","10","2017/03/31 23:33:00","12.8","6.9","3","5.5","2017/03/10 18:40:00","11.5","2017/03/10 18:10:00","11.8","2017/03/10 00:00:00","70","194.7","482.78","5","8","2017/03/22 13:00:00","5.5"
"04","1010.5","1013.6","1019.5","2017/04/03 09:22:00","1004.0","2017/04/10 16:12:00","24.6","32.3","2017/04/10 12:52:00","14.9","2017/04/01 03:13:00","18.7","2.6","30","21.7","20","2017/04/01 00:58:00","64.5","24.6","9","13.0","2017/04/22 00:10:00","18.0","2017/04/22 00:01:00","30.5","2017/04/12 00:00:00","71","194.7","515.63","6","8","2017/04/18 12:00:00","5.3"
"05","1007.6","1010.7","1013.7","2017/05/06 08:17:00","1001.7","2017/05/31 17:58:00","27.7","33.9","2017/05/12 10:37:00","21.5","2017/05/16 20:38:00","22.2","2.4","350","13.1","340","2017/05/16 21:05:00","79.5","27.3","6","9.0","2017/05/16 15:00:00","20.5","2017/05/16 14:14:00","46.0","2017/05/16 00:00:00","73","199.5","616.76","9","13","2017/05/13 12:00:00","5.4"
"06","1006.1","1009.1","1009.8","2017/06/08 10:02:00","1001.1","2017/06/03 17:30:00","29.3","34.5","2017/06/12 10:58:00","24.4","2017/06/16 06:29:00","25.1","2.7","230","14.3","190","2017/06/11 12:43:00","251.5","45.6","14","19.5","2017/06/04 01:56:00","27.5","2017/06/04 01:47:00","60.0","2017/06/04 00:00:00","79","199.2","594.56","10","14","2017/06/21 13:00:00","6.2"
"07","1005.6","1008.6","1011.5","2017/07/07 22:13:00","986.3","2017/07/30 17:00:00","29.6","34.5","2017/07/20 12:55:00","23.4","2017/07/31 06:29:00","24.9","2.5","160","19.6","180","2017/07/31 01:51:00","506.9","50.7","16","15.0","2017/07/02 20:01:00","65.5","2017/07/31 06:20:00","261.5","2017/07/31 00:00:00","76","203.9","620.28","10","13","2017/07/01 13:00:00","5.7"
"08","1004.8","1007.9","1011.9","2017/08/27 22:11:00","991.6","2017/08/22 02:43:00","29.9","34.9","2017/08/19 11:03:00","24.9","2017/08/01 08:22:00","24.5","2.3","210","17.1","120","2017/08/01 06:48:00","196.5","35.4","9","12.5","2017/08/01 04:21:00","54.0","2017/08/01 07:44:00","118.5","2017/08/01 00:00:00","74","212.5","639.11","10","13","2017/08/10 13:00:00","5.5"
"09","1006.8","1009.8","1012.5","2017/09/29 22:47:00","999.1","2017/09/01 05:48:00","30.0","35.4","2017/09/20 14:15:00","25.6","2017/09/07 20:33:00","23.5","2.3","360","13.1","180","2017/09/07 12:07:00","39.5","11.8","5","5.0","2017/09/04 02:27:00","10.5","2017/09/07 19:48:00","17.5","2017/09/04 00:00:00","69","234.5","629.45","9","11","2017/09/04 12:00:00","4.3"
