"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)","地溫0cm","地溫5cm"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount","TxSoil0cm","TxSoil5cm"
"01","1015.7","1018.9","1024.5","2020/01/01 09:16:00","1006.3","2020/01/26 15:22:00","19.0","29.4","2020/01/23 12:33:00","9.2","2020/01/31 06:52:00","14.3","3.4","360","18.8","360","2020/01/26 18:26:00","27.5","12.9","2","7.0","2020/01/26 07:25:00","15.0","2020/01/26 06:46:00","27.0","2020/01/26 00:00:00","75","244.5","451.65","5","7","2020/01/30 13:00:00","3.4","0.0","--"
"02","1017.5","1020.7","1025.1","2020/02/21 09:11:00","1008.7","2020/02/15 15:19:00","20.0","30.3","2020/02/29 14:29:00","11.1","2020/02/17 05:59:00","14.2","3.2","360","15.3","10","2020/02/17 01:21:00","1.5","1.3","1","0.5","2020/02/17 05:31:00","1.5","2020/02/17 05:34:00","1.5","2020/02/17 00:00:00","70","226.4","477.22","6","8","2020/02/15 13:00:00","3.4","0.0","--"
"03","1012.4","1015.5","1018.9","2020/03/16 10:00:00","1004.5","2020/03/09 15:03:00","23.3","31.7","2020/03/26 15:06:00","15.5","2020/03/05 05:23:00","17.1","2.9","360","16.2","20","2020/03/10 09:04:00","29.5","10.0","3","5.0","2020/03/28 05:33:00","8.5","2020/03/28 04:48:00","13.5","2020/03/14 00:00:00","72","230.2","556.46","7","9","2020/03/26 13:00:00","4.2","0.0","--"
"04","1012.8","1015.9","1017.2","2020/04/02 09:15:00","1008.5","2020/04/21 15:24:00","23.4","32.0","2020/04/18 11:40:00","15.6","2020/04/13 01:41:00","18.3","3.1","360","17.4","360","2020/04/12 19:18:00","23.0","13.6","3","1.5","2020/04/06 19:32:00","5.0","2020/04/06 20:49:00","15.0","2020/04/06 00:00:00","69","203.8","567.36","7","10","2020/04/30 13:00:00","4.9","0.0","--"
"05","1006.8","1009.9","1012.0","2020/05/01 08:51:00","1000.0","2020/05/17 16:14:00","28.1","34.7","2020/05/16 13:09:00","23.0","2020/05/19 15:03:00","23.1","2.4","360","17.0","200","2020/05/16 16:01:00","470.5","57.2","10","24.0","2020/05/19 10:36:00","47.0","2020/05/19 10:22:00","176.0","2020/05/22 00:00:00","76","222.0","592.71","9","12","2020/05/25 12:00:00","5.8","0.0","--"
"06","1006.5","1009.6","1012.0","2020/06/14 21:51:00","1002.1","2020/06/12 16:36:00","30.1","35.9","2020/06/13 12:22:00","24.2","2020/06/08 15:18:00","24.0","2.4","260","17.9","200","2020/06/08 14:12:00","58.5","10.5","10","13.0","2020/06/12 13:15:00","15.5","2020/06/08 14:14:00","17.0","2020/06/08 00:00:00","71","271.8","666.25","12","15","2020/06/04 13:00:00","5.0","0.0","--"
"07","1006.0","1009.0","1009.8","2020/07/03 21:23:00","1001.8","2020/07/15 03:48:00","30.2","35.2","2020/07/23 13:08:00","24.7","2020/07/29 15:10:00","24.5","2.3","130","14.5","220","2020/07/29 14:37:00","141.0","24.0","14","16.0","2020/07/29 15:07:00","50.5","2020/07/29 14:41:00","52.0","2020/07/29 00:00:00","72","232.9","614.38","10","13","2020/07/08 12:00:00","6.0","0.0","--"
"08","1004.8","1007.9","1012.4","2020/08/12 21:23:00","999.5","2020/08/31 16:43:00","28.8","35.0","2020/08/06 13:38:00","23.9","2020/08/16 16:24:00","24.5","2.5","10","18.1","150","2020/08/11 01:37:00","663.5","77.8","19","20.0","2020/08/16 16:11:00","37.5","2020/08/26 06:55:00","222.0","2020/08/26 00:00:00","79","177.7","509.26","8","12","2020/08/12 12:00:00","6.8","0.0","1.0"
"09","1006.6","1009.7","1012.1","2020/09/18 21:15:00","999.1","2020/09/01 03:54:00","29.3","34.4","2020/09/14 14:08:00","24.1","2020/09/28 05:19:00","22.9","2.4","360","13.4","180","2020/09/18 16:53:00","56.3","5.5","3","11.5","2020/09/12 11:14:00","32.5","2020/09/12 11:01:00","38.5","2020/09/12 00:00:00","70","239.1","573.97","8","10","2020/09/16 12:00:00","5.0","0.0","1.0"
"10","1009.1","1012.2","1014.8","2020/10/29 08:19:00","1002.4","2020/10/22 03:36:00","26.8","32.7","2020/10/05 11:47:00","20.2","2020/10/23 00:37:00","20.7","2.7","360","16.9","360","2020/10/22 16:35:00","1.0","2.2","2","0.5","2020/10/22 23:35:00","0.5","2020/10/22 22:45:00","0.5","2020/10/22 00:00:00","70","225.6","508.27","7","9","2020/10/01 13:00:00","4.9","0.0","1.0"
"11","1013.1","1016.2","1018.2","2020/11/30 09:27:00","1005.2","2020/11/06 15:53:00","24.2","32.0","2020/11/20 12:42:00","18.9","2020/11/11 06:03:00","19.6","2.7","360","12.8","360","2020/11/06 13:52:00","52.0","17.1","3","7.5","2020/11/07 14:53:00","18.5","2020/11/07 14:27:00","49.0","2020/11/07 00:00:00","76","168.6","364.59","5","7","2020/11/11 12:00:00","5.6","0.0","1.0"
"12","1014.2","1017.4","1022.3","2020/12/31 09:10:00","1008.0","2020/12/29 14:49:00","20.1","29.4","2020/12/13 13:39:00","10.2","2020/12/31 07:11:00","15.6","4.0","360","21.0","360","2020/12/30 11:17:00","6.0","14.3","3","1.0","2020/12/09 19:20:00","2.5","2020/12/09 19:10:00","2.5","2020/12/09 00:00:00","76","153.3","355.19","5","7","2020/12/22 12:00:00","6.7","--","--"
