"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.8","1020.0","1022.8","2015/01/02 09:26:00","1009.5","2015/01/06 13:36:00","17.8","27.8","2015/01/05 13:41:00","10.6","2015/01/02 05:34:00","12.1","3.3","20","15.6","30","2015/01/14 13:51:00","13.5","3.5","1","4.5","2015/01/14 05:30:00","9.5","2015/01/14 05:30:00","13.5","2015/01/14 00:00:00","70","195.2","400.41","5","6","2015/01/31 13:00:00","4.4"
"02","1015.8","1019.0","1023.1","2015/02/01 09:07:00","1008.9","2015/02/24 15:24:00","18.9","29.2","2015/02/26 13:27:00","10.5","2015/02/10 05:45:00","13.7","3.2","20","17.2","20","2015/02/05 15:41:00","22.0","7.5","3","3.5","2015/02/21 19:45:00","7.5","2015/02/16 04:45:00","14.0","2015/02/21 00:00:00","73","186.6","416.68","5","7","2015/02/24 13:00:00","4.5"
"03","1014.5","1017.6","1022.0","2015/03/25 22:57:00","1007.0","2015/03/03 15:18:00","21.8","29.4","2015/03/30 10:33:00","14.5","2015/03/02 00:51:00","16.9","3.3","30","16.5","20","2015/03/23 15:20:00","5.1","3.7","2","2.0","2015/03/23 21:41:00","3.5","2015/03/23 21:41:00","3.5","2015/03/23 00:00:00","75","189.6","483.89","6","9","2015/03/30 13:00:00","5.0"
"04","1011.2","1014.3","1016.5","2015/04/11 19:57:00","1005.0","2015/04/03 03:17:00","24.9","32.3","2015/04/05 11:23:00","16.8","2015/04/09 04:53:00","19.4","3.3","30","15.3","180","2015/04/18 17:45:00","25.8","21.4","4","1.5","2015/04/21 08:17:00","3.5","2015/04/21 08:19:00","11.6","2015/04/21 00:00:00","73","253.4","622.47","8","10","2015/04/03 13:00:00","4.2"
"05","1007.3","1010.4","1012.2","2015/05/15 09:40:00","1002.4","2015/05/24 16:34:00","27.7","33.1","2015/05/10 13:17:00","22.8","2015/05/21 07:03:00","23.9","2.6","200","15.4","250","2015/05/25 01:51:00","300.0","71.7","14","13.0","2015/05/28 05:23:00","37.0","2015/05/12 08:00:00","63.0","2015/05/24 00:00:00","80","189.3","541.45","8","10","2015/05/15 12:00:00","5.9"
"06","1006.2","1009.2","1009.7","2015/06/03 09:36:00","1002.1","2015/06/17 16:23:00","30.4","35.0","2015/06/22 13:52:00","26.2","2015/06/01 05:32:00","25.2","2.8","190","16.6","180","2015/06/23 09:05:00","19.0","2.0","2","8.0","2015/06/25 03:55:00","12.0","2015/06/25 03:45:00","12.0","2015/06/25 00:00:00","74","322.1","745.69","10","11","2015/06/22 13:00:00","4.5"
"07","1002.9","1006.0","1011.6","2015/07/27 22:22:00","992.6","2015/07/10 14:21:00","29.1","34.1","2015/07/05 12:47:00","23.8","2015/07/27 18:25:00","25.0","3.1","260","19.0","10","2015/07/10 16:30:00","225.0","51.0","15","14.0","2015/07/20 02:53:00","29.0","2015/07/20 02:45:00","67.0","2015/07/20 00:00:00","79","200.2","572.01","9","11","2015/07/21 12:00:00","6.3"
"08","1003.4","1006.4","1010.5","2015/08/02 08:02:00","973.2","2015/08/08 07:55:00","28.4","34.8","2015/08/04 12:09:00","23.4","2015/08/29 18:23:00","24.7","3.1","140","34.4","210","2015/08/08 15:25:00","629.6","95.6","16","12.5","2015/08/09 00:42:00","44.0","2015/08/09 00:38:00","151.5","2015/08/08 00:00:00","81","155.7","458.24","8","12","2015/08/13 13:00:00","6.3"
"09","1007.0","1010.1","1012.9","2015/09/17 22:09:00","990.4","2015/09/28 21:37:00","28.4","33.7","2015/09/26 11:56:00","24.5","2015/09/29 01:47:00","23.6","2.7","10","24.6","200","2015/09/29 02:18:00","192.0","32.3","5","9.5","2015/09/07 02:22:00","27.0","2015/09/07 02:19:00","70.5","2015/09/29 00:00:00","76","206.4","507.30","7","11","2015/09/02 12:00:00","4.7"
"10","1010.5","1013.6","1018.3","2015/10/31 09:22:00","999.9","2015/10/19 15:55:00","26.8","32.7","2015/10/02 12:57:00","21.1","2015/10/15 05:56:00","22.3","2.4","20","11.3","10","2015/10/10 23:19:00","31.0","15.5","4","4.5","2015/10/09 04:16:00","11.0","2015/10/09 04:16:00","13.5","2015/10/09 00:00:00","77","198.2","463.01","6","8","2015/10/07 12:00:00","4.7"
"11","1013.9","1017.0","1020.8","2015/11/28 09:00:00","1009.3","2015/11/25 14:20:00","25.1","31.9","2015/11/18 11:50:00","13.7","2015/11/27 06:11:00","20.2","2.9","10","16.7","20","2015/11/25 17:25:00","4.5","0.8","1","3.5","2015/11/14 09:24:00","4.5","2015/11/14 09:10:00","4.5","2015/11/14 00:00:00","75","206.2","403.07","5","7","2015/11/02 12:00:00","3.9"
"12","1016.1","1019.3","1023.5","2015/12/29 09:29:00","1008.2","2015/12/10 03:23:00","20.5","30.1","2015/12/24 12:16:00","12.1","2015/12/18 00:40:00","15.8","3.7","10","15.8","10","2015/12/16 16:00:00","13.5","9.9","3","1.5","2015/12/10 05:50:00","3.5","2015/12/10 01:37:00","10.0","2015/12/10 00:00:00","75","207.6","375.72","4","5","2015/12/06 12:00:00","4.8"
